Unnamed: 0,title,text,label
61370,ARNOLD SCHWARZENEGGER Sends A Message To Liberals Whining About Trump [Video], ,1
2189,WOW! “We Mexicans Need To Kill Donald Trump Before He Becomes President…Cross The Border And Go And Kill Trump And His Supporters” [VIDEO],"And now a message of peace and unity from one of our neighbors to the South:  We, Mexicans, have to kill Donald J. Trump before he becomes President. He is a threat to every single one of us. There are many Mexican Americans living in the U.S. right now and I m asking them to kill Donald Trump before he becomes President. The one in Mexico who have the means, I m asking you to cross the border and go and kill Donald Trump, and as many of his supporters as possible. Anywhere he goes just try to bomb the place, shoot up the place, do something. B..b but he looked like such a nice boy. Don t call him  illegal he just wanted a better life he s just a victim This punk isn t the only one threatening the life of Trump. Watch this video that exposes the truth about how the media ignores these threats:",1
60609,Jimmy Carter recovers from dehydration scare in Canada,"WINNIPEG, Manitoba (Reuters) - Former U.S. President Jimmy Carter, appearing fully recovered from dehydration suffered while helping to build a home for charity in Canada, was released from an overnight hospital stay on Friday and addressed the project’s closing ceremony. Carter, 92, collapsed while working on Thursday at the Winnipeg construction site for Habitat for Humanity, which promotes affordable home ownership, and was taken to St. Boniface General Hospital for medical treatment and tests. By Friday morning, Carter was smiling as he returned to the building site to help kick off the project’s last day. Hours later, he and his wife, Rosalynn Carter, 89, attended closing ceremonies at the Canadian Museum for Human Rights in Manitoba’s capital, receiving a rousing ovation from the crowd. Dressed in blue jeans, a T-shirt and light-weight jacket, a relaxed, fit-looking Carter climbed a short flight of steps to the stage to salute Habitat’s members for their contributions. “I look upon all the volunteers, in a very sincere way, as human rights heroes, and I thank you for it,” he said, and joked that his “bringing attention to this Habitat project was completely unintentional.” The former first lady told the crowd her husband received a clean bill of health after an extensive battery of tests during his brief hospitalization, including from one test designed to detect heart damage. The results showed “there has never been any kind of damage at all to Jimmy Carter’s heart,” she said. “I knew he had a good heart.” Thursday’s health scare generated an outpouring of support for Carter, a Democrat who served in the White House from January 1977 to January 1981 and has lived longer after his term in office than any other president in U.S. history. A high point of his presidency was Carter’s role in brokering the 1978 Camp David Accords that ushered in peace between Israel and Egypt.  But having left office profoundly unpopular, he is widely regarded as a better former president than he was a president, and received the Nobel Peace Prize in 2002 for his humanitarian work. Carter disclosed in August 2015 that he had been diagnosed with a form of skin cancer called melanoma that had spread to his brain and elsewhere and had been spotted during liver surgery. But months later, Carter told the Maranatha Baptist Church, where he teaches Sunday school in his home town of Plains, Georgia, that his latest brain scan showed no sign of the disease. Carter was in Canada for a project to build 150 new homes for needy families, celebrating the country’s 150th independence anniversary. ",0
51565,2 Friars’ Mission: Reviving a Brooklyn Church in a Religious ‘Dead Zone’ - The New York Times,"The two Franciscan friars, complete with   robes, stood behind the bar outside the    church taking cash and slinging cans of Coors and    in Greenpoint, Brooklyn. Drinks in hand, over 200 people, many wearing black chokers, macramé bikini tops and denim overall shorts, crowded into the pews on a recent Thursday night, the pop of beer cans punctuating their arrival. But they were not waiting for a sermon  —   they were waiting for Josiah Wise, who goes by the name serpentwithfeet, an RB singer whose songs have heavy gospel overtones. This was not a typical church meeting, but the San Damiano Mission is no longer a typical church. On the brink of closing the church, the Diocese of Brooklyn called in the friars, Nicholas Spano, a deacon, and the Rev. Raphael Zwolenkiewicz, who are reintroducing Catholicism to the neighborhood in unconventional ways. “We’re not here to be an invisible presence, but something very tangible,” Father Zwolenkiewicz, 65, said. “Whether it’s services in the church or out in front of the church just hanging out, or even on the corner, we’ll be in our vestments and saying hello to people as they walk by. ” On the border of Williamsburg and Greenpoint, where Sunday Mass often takes a back seat to brunch and shopping, the church had seen its membership dwindle. “That area in Brooklyn, like many other areas in the Brooklyn Diocese, is undergoing a dynamic change in demographics,” the Rev. Msgr. Joseph Grimaldi, the Brooklyn vicar for the diocese, said last month. “Williamsburg is one of the largest areas that many millennials have settled in, and a good number of them are baptized Catholics, but have not really practiced their faith. ” “With 30 people, you can’t sustain a church,” Father Grimaldi said, “but in this case we came up with a novel approach. ” The friars, members of the First Order of St. Francis, took over the former Holy Family Slovak Church on Nassau Avenue in 2015. First, they changed its name to the San Damiano Mission. Then they looked around. Masses were still being celebrated when most of the neighborhood was asleep, and the oak doors were chained and padlocked much of the time. “All of our images said, ‘We’re gone and closed,’” Mr. Spano, 35, said. They replaced the oak doors with glass ones. “There’s a lot of foot traffic here Wednesday through Sunday between 10:30 p. m. and 4 a. m.,” Mr. Spano said. “To have the church not look its best at that time doesn’t help us. ” On a good Sunday, as many as 50 people now attend Mass. It is not a huge number, “but it is a difference,” he said. St. Francis of Assisi was called upon by God to “rebuild my church for it is in ruin,” Father Zwolenkiewicz said. “So it’s the same idea that we were invited to come here and to reach out to the neighborhood and people who are here, to rejuvenate and to restore part of this community. ” Mr. Spano developed proposals to turn the church into an arts hub and a focal point for the community. The friars wear their robes in public and can often be found running errands and grabbing their morning coffee in the neighborhood. Many are surprised to see the friars, they said, and some even mistake them for actors from a nearby film and television studio. They frequently attend the concerts put on by the Lot Radio station, which operates out of a converted shipping container across the street. The groups have joined forces to raise money to restore a $226, 000 pipe organ for the church by holding shows inside the mission, like the one featuring serpentwithfeet. Sabrina Tamar, 27, has lived near the mission for 10 years. “Most people weren’t aware of this at first, but there’s definitely a sense of community I feel hasn’t been in this neighborhood in a while,” she said before taking her seat at the concert. “It’s wonderful. The friars are so tolerant and welcoming. ” Other residents agreed. “The friars know religion is a dead zone in this neighborhood, so if you want people to participate, you have to not preach,” one resident, Nikki Cohen, 30, said. She said she discovered the church through the radio station and the concert series. “This is a social place,” she said, “a community place you can come and hang out. ” For Aaron Sutula, the church beckoned. Mr. Sutula, 34, attends church only on Christmas. But he said he walked by one night and the mission was empty, but its lights were on, so he stepped inside and lit a candle. “My grandfather had just died the year before,” Mr. Sutula said. “They don’t have real candles because it’s New York City, so you just hit a button and it turns on the light. But it was nice. ” The friars have also paired with a Lutheran church to offer some services to homeless people, including making showers and barbers available every other Monday at the mission. At a recent Sunday Mass, only about 25 people were in the pews. On this particular Sunday, a party at the Lot Radio the night before had kept some parishioners home from services, Mr. Spano said. Toward the end of the Mass, Mr. Spano made several announcements, including an update on the pipe organ. They hope to have it back by Easter, he said, though once the organ is reinstalled, the fog machine used for concerts will have to go.",0
39431,Boy With Autism Makes His First Friend Ever And His Mom Can’t Stop Crying,"Approximately 1 in 68 children has an autism spectrum disorder, making the disorder more common than it used to be and a force to be reckoned with. There are even service dogs that are specially... ",1
47839," Something Truly Extraordinary, And Refreshing, Happened During The CNN Democratic Debate (VIDEO)","The CNN debate between Democratic candidates Hillary Clinton and Bernie Sanders took place in Flint, Michigan on Sunday   and it featured something truly extraordinary and refreshing.The candidates spent their time presenting two compelling and different visions for America, based on aspirations and hope   and conducted a battle of ideas, not playground level personal insults. It was a perfect insight into what the Republican party is currently incapable of offering the American public.While the Republican debates have featured Donald Trump raving about the size of his own penis, the amount his opponent Marco Rubio sweats, and how Ted Cruz is a liar   Bernie and Hillary kept it classy.In terms of the topics discussed, the Republican debates have so far centered around fighting against immigration, guns, equal marriage, women s reproductive rights, and each other (allowing candidates to respond to whatever personal attacks have been made that week).By contrast, the Democratic debate was wide-ranging, covering a number of social, economic and political issues.Just some of the issues covered:On all of these issues, the candidates had compelling, and different, visions for America.On Flint, both candidates came out strongly on the side of the people. Sanders saying: Over the last several weeks, I had the opportunity to meet with a number of residents of Flint, had a town meeting in Flint, and I have to tell you, what I heard and what I saw literally shattered me and it was beyond belief that children in Flint, Michigan in the United States of America in the years 2016 are being poisoned. That is clearly not what this country should be about. And Clinton adding: The governor should resign or be recalled and we should support the efforts of citizens attempting to achieve that. But that is not enough. We have to focus on what must be done to help the people of Flint. In short, they didn t fight over the matters for which there was no principle at stake. They did not call each other liars or argue their care for the people of Flint was disingenuous just to score a point.But when it came to the issues that divide Sanders from Clinton, they went at it with everything in their arsenal.For example, on money in politics. The Sanders and Clinton campaigns are markedly different. One candidate (Sanders) relying on mass micro-contributions and rejecting the influence of big money backers, and Clinton (as the establishment candidate) doing the opposite. So when the matter arose, Sanders made a simple but powerful point: One of us has a super PAC. One of us has raised $15 million from Wall Street for the super PAC. One of us has given speeches on Wall Street for hundred of thousands of dollars. Conversely, on the issue of gun control   where Clinton is in favor if stricter gun controls while Sanders is more reluctant, it was Clinton who could landed a blow   again, on the issue, not the personal attributes of the candidate.Whichever candidate more closely represents your vision for America, the debate gave you a chance to fully explore their ideas, their policies, and what they would mean for American schools, jobs, daily lives, the economy and the environment. It was a reminder that America can do grown up politics, at a time when the Republican Primary has disintegrated into a frat-house brawl.You can watch the debate in full below:  Featured image via screenshot",1
42729,#Hashtag Hell & The Fake Left," By Dady Chery and Gilbert MercierAll writers with a desire to rattle people out of their torpor occasionally wonder if it is worthwhile to continue to try to raise their voices over the din of lies and distractions.More and more for us, such thoughts are occasioned, not by the mainstream, which predictably treats all the pronouncements from the powerful as being newsworthy, but by the fake left, which lobotomizes most of whom it touches. The increasing sophistication of this group and its rate of expansion are astounding. Its purpose is to annihilate and replace the real left, and it is making great strides in this regard.The real left includes those who, like Dr. Martin Luther King Jr. (MLK), came to realize that quantum leaps are the way to proceed, rather than tiny incremental change. The real left does not curry favor or approval from those in power; it challenges the social status quo and respects the inherent right of an injured and indignant population to rebel against authority. It is not for rent or for sale, and it does not cave in to power. Martin Luther King March (Image Source: Wikicommons)By contrast, the motivations of the fake left are money and fame: the preservation of their place in their ivory towers, together with all the trimmings of an upper middle class or wealthy lifestyle. For them, the path is smoothed and the wheels of the machine are oiled for lucrative book deals, speaking tours, radio and television interviews, and articles that are infinitely reverberated through approved sites in the Internet. Their spokespeople channel political ideas toward electoral cycles and transform revolutionary musings into banalities, paralysis, and futile actions. They attack the public s thought process itself and engender an attention-deficit disorder. Ideas are not pursued, shared, honed, and acted upon but instead displaced by fleeting slogans like  hope and change,  or  feel the Bern. Alternatively, the ideas are muddled, branded and labeled with names like  shock doctrine,   disaster capitalism,  or  climate capitalism,  so that they may be put away and no longer examined. An important function of the fake left is to diffuse legitimate, spontaneous defense. Righteous anger is made to give way to confusion, and the impetus to revolt is transformed into the futility of virtual actions. Slogans are used as vaccines to prevent the contagion of dissent. Thoughts, not quite fully formed and the beginning of spontaneous actions, like blockage of bridges and highways, quickly dissipate. They are aborted into quick visual scans of an image or rapidly associated with a few words, like  black lives matter,  and then shared on social media. Today, Thomas Paine s Common Sense would not kindle a revolution; instead it would be quoted, posted, pinned, and tweeted. The fake left is a decoy: a hunter s trap to break the leg of any possible revolution. One of the fake left s godfathers is the multibillionaire George Soros, who obviously believes that wealth equals wisdom and has come up with a clever model to launder his vast financial gains into global political influence. Soros has developed an extremely diversified portfolio of intellectual properties and non-governmental organizations (NGO) in more than 37 countries. Artists throughout the world who present their people as victims, and promote passivity and despair, are rewarded with support and prestigious prizes. Supported organizations like Human Rights Watch and Amnesty International are accused not only of selectively collecting data on human rights abuses but also of exploiting some of those data to pressure countries into policy changes that are unrelated to human rights. Independent  journalism is a major focus of Soros  Open Society Foundation, which was founded in 1993, soon after the collapse of the Soviet Union and right before the explosion of the Internet. When US-friendly corrupt governments, and US-sponsored institutions like USAID and the United Nations are exposed by the real left, Soros-sponsored think tanks and news organizations like the Center for Economic and Policy Research (CEPR) spring into action and become the voice of reason, demanding that these organizations self-reform. Countless others, also related to the Open Society Foundation, echo and amplify their message. Dismantlement and profound systemic change are never on the agenda. In most of the world, and especially the US, elections are staged, with the primary goal being to let off steam from targeted sectors of the population. A secondary goal is to make a rigged political process appear believable and give the impression of a free exchange of ideas. The candidates are presented as caricatures that trigger an emotional identification in specific groups of people. In the US in 2016, the mean, misogynist and racist ugly American stereotype is served well by Donald Trump for the right. On the other side, the reincarnated Occupy leftist champion of social justice is played by Bernie Sanders. Nonetheless it is Hillary Clinton s turn to win. Trump and Sanders serve to keep the elections in the news and to make Clinton the only supposed pragmatic choice. The ambition of Sanders to beat Hillary Clinton is questionable in light of the fact that he did not run for the presidency in 2012, although the issues were the same, and he could have benefited then from the energy of Occupy. Sander s platform is a reactivation of the Occupy themes. Occupy, however, is not what it used to be. Indeed it is a perfect example of something from the real left that was hijacked. It began as a leaderless anti-capitalist movement called US Day of Rage, but soon it acquired leaders like Chris Hedges, and its most radical elements, like the Black Bloc anarchists, were vilified and excluded. The fake left poaches the narrative of the real left so as to kill it. Outright plagiarism and abundant appropriations and rewrites are hallmarks of the fake left.  Since it lacks a heartfelt leftist rhetoric, it must continually borrow one, ironically, to excoriate it so as to present a superficial version of it. Any critical examination will show that the self-proclaimed firebrands of the left have, for decades, never moved the revolutionary dial an iota. If books like Noam Chomsky s Occupy or Naomi Klein s Shock Doctrine, or Chris Hedges and Joe Sacco s Days of Destruction, Days of Revolt had been genuine, they would have brought people to the barricades in the streets, and there would surely have been attempts to suppress them. Instead the books have been celebrated and glorified by the media establishment, because these pseudo-radical manifestos have not brought action but paralysis.The latest offering by Naomi Klein, This Changes Everything, will, by design, change absolutely nothing at all, except the balance of her bank account. TOAST OF THE LEFT: Author Naomi Klein.Those few of us who are genuinely trying to change the course of events sometimes wonder how we can compete against this powerful new machine that appropriates our message, twists it, and then blasts a degraded version of it through countless bullhorns. Doesn t the public realize that wealth and fame are not the normal trappings of revolutionaries? Don t people know that revolution is never easy, and that if it appears to be, it is not real? If words like earth, nature, life, democracy, dissent, protest, love, and revolution are allowed to lose their weight, our voices will go the way of the song of the extinct Dodo bird. It is imperative that these words be reappropriated and reinfused with meaning.Revolutionary talk cannot be permitted to become an exercise in futile venting or a validation of passivity; to mean anything at all, it must be enacted in community.Dady Chery is the author of We Have Dared to Be Free, and Gilbert Mercier is the author of The Orwellian Empire. This article was originally published at New Junkie PostREAD MORE 2016 ELECTION NEWS AT: 21st Century Wire 2016 Files",1
37882,Vice President-elect Pence says 'new hope dawns' for Cuba,WASHINGTON (Reuters) - U.S. Vice President-elect Mike Pence said on Saturday that “new hope dawns” for Cuba after the death of Fidel Castro. “The tyrant Castro is dead. New hope dawns. We will stand with the oppressed Cuban people for a free and democratic Cuba. Viva Cuba Libre!” Pence said on Twitter. ,0
10893,Trump to Republican senators: Don't leave town until pass healthcare legislation,"WASHINGTON (Reuters) - U.S. President Donald Trump urged Republican senators on Wednesday to work out their differences and pass healthcare legislation before leaving Washington for their August recess. A day after the latest version of legislation to replace Obamacare fell victim to squabbling among Republicans who control the Senate, Trump gathered Republican senators for a lunch and told them, “We are so close.” He said Republicans had promised Americans they would repeal and replace President Barack Obama’s signature healthcare law for seven years and that now is the time to act. “We have to stay here. We shouldn’t leave town,” Trump said. ",0
46977,White House: Obama May Leave the Country if Trump is Elected,"0 comments 
The White house is refusing to deny the rumors that President Obama claimed he will relocate to Canada if Donald Trump is elected as his successor in November. 
The rumor began when Canadian satire website The Burred Street Journal ran a fictional story titled “Obama Declares His Family Will Move To Canada If Trump Is Elected.” 
The story was complete with a fake statement from Obama which read, “It’s something Michelle, the kids and I have discussed as a potential solution to the Donald. I have also spoken with Prime Minister (Justin) Trudeau who outlined Canada’s generous immigration policy for wealthy individuals, so we’ll see.” 
The story was immediately picked up by American newsrooms, who ran it with headlines like “Obama Just Said He’s Moving If Trump Is Elected, Sounds Good To Us!” 
When asked about the rumors, White House Press Secretary Josh Earnest would not say outright that Obama is not considering a move to Canada should the American people elect Trump. 
“He’s working very hard to make sure that nobody has to leave the country as a result of an electoral outcome that the president doesn’t support,” said Earnest, according to MRC Blog . 
While this all originated as a rumor, the White House’s decision not to categorically deny the reports had any validity only makes it appear as though Obama may actually consider moving out of the country if Trump is elected. 
Do you think Obama would ever leave the US? Leave your thoughts in the comments section!",1
